Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm]
Lattice,243,PLA,none,35.975095245713405,10.0,2.5,1.1094536486937976,0.5,1.6641804730406964
Lattice,244,PLA,dense elastomer,14.999480525710116,10.0,2.5,0.6453401803684624,0.5,0.9680102705526936
Lattice,245,PLA,foamed elastomer,14.999480525710116,10.0,2.5,0.6453401803684624,0.5,0.9680102705526936
Lattice,246,PLA,none,14.999480525710116,10.0,2.5,0.6453401803684624,0.5,0.9680102705526936
Lattice,247,PLA,dense elastomer,23.341261728919857,10.0,2.5,0.6535747896301927,0.5,0.980362184445289
Lattice,248,PLA,foamed elastomer,23.341261728919857,10.0,2.5,0.6535747896301927,0.5,0.980362184445289
Lattice,249,PLA,none,23.341261728919857,10.0,2.5,0.6535747896301927,0.5,0.980362184445289
Lattice,250,PLA,dense elastomer,35.59698834700629,10.0,2.5,0.6967554866540324,0.5,1.0451332299810487
Lattice,251,PLA,foamed elastomer,35.59698834700629,10.0,2.5,0.6967554866540324,0.5,1.0451332299810487
Lattice,252,PLA,none,35.59698834700629,10.0,2.5,0.6967554866540324,0.5,1.0451332299810487
Lattice,253,PLA,dense elastomer,11.348522817371538,10.0,2.5,1.2147782029809568,0.5,1.8221673044714353
Lattice,254,PLA,foamed elastomer,11.348522817371538,10.0,2.5,1.2147782029809568,0.5,1.8221673044714353
Lattice,255,PLA,none,11.348522817371538,10.0,2.5,1.2147782029809568,0.5,1.8221673044714353
