Unit Cell,ID,Error,E1,E2,E3,Nu12,Nu13,Nu23,G12,G13,G23,Stiff volume,Total volume
Re-entrant,167,2.00E-05,3.76162888,0.140749595,68.57296731,4.963194634,0.014110833,0.001095791,0.027335715,20.79229686,5.357897754,42.63289083,1250.000144
Re-entrant,168,2.04E-05,0.755396456,0.026064913,68.53181785,5.340860248,0.003268405,0.00012131,0.006082779,20.77912643,5.344240374,42.63289083,1250.000144
Re-entrant,169,6.15E-06,46.53058743,23.47047223,77.50614772,0.04863567,0.243544884,0.163738439,0.397239938,16.83440155,7.67748044,47.48883595,1250.000114
Re-entrant,170,1.79E-05,2.755167523,0.562081862,76.37865631,-2.116378087,0.012454777,0.002959179,0.018105759,16.42529998,7.321756078,47.48883595,1250.000114
Re-entrant,171,2.73E-05,1.124987042,0.224435718,76.33636449,-2.198879431,0.004406774,0.000875476,0.00194339,16.40961091,7.308158705,47.48883595,1250.000114
Re-entrant,172,4.14E-06,33.59265182,9.440628483,69.69704009,1.207773023,0.112428671,0.096976984,0.490006043,21.13709687,5.713807005,42.6329466,1250.000179
Re-entrant,173,1.30E-06,3.740219983,0.139954386,68.57351042,4.964290021,0.014050368,0.001085323,0.027360222,20.7922875,5.357912854,42.6329466,1250.000179
Re-entrant,174,1.19E-06,0.72975329,0.025180011,68.53221725,5.342320102,0.003196253,0.000109897,0.006155386,20.77911719,5.344318269,42.6329466,1250.000179
Re-entrant,175,1.65E-05,45.85847217,23.23097314,77.44298686,0.030802749,0.24263974,0.163634094,0.397365324,16.82982651,7.677181168,47.48889408,1250.0001
Re-entrant,176,1.59E-05,2.646187477,0.539474502,76.37670059,-2.121011369,0.012051642,0.002880947,0.018593616,16.42430147,7.321455559,47.48889408,1250.0001
Re-entrant,177,1.59E-05,1.110689535,0.221563133,76.33439579,-2.199494102,0.004396759,0.000885001,0.003774305,16.40876069,7.307865027,47.48889408,1250.0001
Re-entrant,178,1.80E-05,41.5051634,14.94441028,114.6380299,0.661513902,0.121454005,0.080343968,0.555487002,13.66669829,4.299997789,70.68582121,1250.00011
Re-entrant,179,1.42E-05,12.90561039,0.194532822,113.6117653,-6.416678692,0.036678131,0.000899562,0.025042638,12.67019824,3.933125851,70.68582121,1250.00011
Re-entrant,180,1.81E-05,0.698147124,0.007255665,113.573851,-9.707536734,0.00187241,2.21E-05,0.001635048,12.6307224,3.918902369,70.68582121,1250.00011
Re-entrant,181,2.79E-06,46.51913251,23.47044567,77.50522689,0.048420172,0.24352404,0.16374775,0.397299145,16.833675,7.677719529,47.4888935,1250.000074
Re-entrant,182,2.86E-06,2.755443599,0.56204593,76.37866212,-2.116549592,0.012444244,0.002953643,0.018100501,16.42452812,7.321994512,47.4888935,1250.000074
Re-entrant,183,3.21E-06,1.122211782,0.223842706,76.33581219,-2.199176062,0.004409693,0.000879436,0.001935542,16.40883585,7.308406874,47.4888935,1250.000074
Re-entrant,184,7.79E-06,41.50540853,14.94431436,114.6506721,0.661566561,0.121437382,0.080334939,0.555175484,13.66656392,4.300097606,70.68587729,1250.000134
Re-entrant,185,1.71E-05,12.91385264,0.194642722,113.6244208,-6.415724177,0.036692271,0.00089936,0.025032402,12.67025686,3.933225005,70.68587729,1250.000134
Re-entrant,186,1.28E-05,0.731787198,0.007605836,113.586617,-9.702256874,0.001936416,2.05E-05,0.001644216,12.6307989,3.919164702,70.68587729,1250.000134
Re-entrant,187,1.52E-05,35.41336863,13.67241219,158.0585385,0.808492404,0.072228012,0.053754899,0.945232475,12.40618281,2.841468135,97.73615138,1250.000141
